article_id,title,content,topic,publication_date,author_id,author_name,category_id,tags,ground_truth
0,Image Forgery,"Today manipulation of digital images has become easy due to powerful computers, advanced photo-editing software packages and high resolution capturing devices. Verifying the integrity of images and detecting traces of tampering without requiring extra prior knowledge of the image content or any embedded watermarks is an important research field. An attempt is made to survey the recent developments in the field of digital image forgery detection and complete bibliography is presented on blind methods for forgery detection. Blind or passive methods do not need any explicit priori information about the image. First, various image forgery detection techniques are classified and then its generalized structure is developed. An overview of passive image authentication is presented and the existing blind forgery detection techniques are reviewed. The present status of image forgery detection technique is discussed along with a recommendation for future research.The rapid growth of image processing softwares and the advancement in digital cameras has given rise to large amounts of doctored images with no obvious traces, generating a great demand for automatic forgery detection algorithms in order to determine the trustworthiness of a candidate image. A forgery detection algorithm should be passive, requiring no prior information about the image content or any protecting methods like watermarks.According to the Wall Street Journal, 10% of all color photographs published in United States were actually digitally altered and retouched (Amsberry, 1989). The scientific community has also been subject to forgeries (Farid,2006a; Pearson, 2005). The authenticity of photographs has an essential role as these photos are popularly used as supporting evidences and historical records in growing number and wide range of applications from forensicinvestigation, journalistic photography, criminal investigation, law enforcement, insurance claims and medical imaging. Image forgery has a long history (Rocha et al., 2011). As shown in Fig. 1, in todays digital world it is possible to create, alter and modify the information represented by an image very easily",Image Forgery,2023-05-26,30,Phillip Curry,3,"digital forgery, image manipulation, fake images, image tampering, forensic analysis",Image Forgery
1,Cloning,"Perhaps one of the most common image manipulations is to clone (copy and paste) portions of the image to conceal a person or object in the scene. When this is done with care, it can be difficult to detect cloning visually. And since the cloned regions can be of any shape and location, it is computationally impossible to search all possible image locations and sizes. Two computationally efficient algorithms have been developed to detect cloned image regions ( [11], [34] ; see also [23], [27], and [42] ). The authors in [11] first apply a block discrete cosine transform (DCT). Duplicated regions are detected by lexicographically sorting the DCT block coefficients and grouping similar blocks with the same spatial offset in the image. In a related approach, the authors in [34] apply a principal component analysis (PCA) on small fixedsize image blocks to yield a reduced-dimension representation. Duplicated regions are again detected by lexicographically sorting and grouping all of the image blocks. Both the DCT and PCA representations are employed to reduce computational complexity and to ensure that the clone detection is robust to minor variations in the image due to additive noise or lossy compression.",Cloning,2023-04-21,30,Steven Martinez,4,"copy-paste detection, duplicate regions, image replication, forgery techniques, forensic tools",Cloning
2,RESAMPLING,"To create a convincing composite, it is often necessary to resize, rotate, or stretch portions of an image. For example, when creating a composite of two people, one person may have to be resized to match the relative heights. This process requires resampling the original image onto a new sampling lattice, introducing specific periodic correlations between neighboring pixels. Because these correlations are unlikely to occur naturally, their presence can be used to detect this specific manipulation ([36] ; related approaches are described in [43],[22], [31], and [38] ).f length m by a factor of two using linear interpolation to yield y1t2. The odd samples of the resampled signal take on the values of the original signal: y12i 2 12 5 x1i2, i 5 1, c, m, while the even samples are the average of adjacent neighbors of the original signal ",RESAMPLING,2023-12-31,28,Paul Whitehead,9,"resizing, interpolation, pixel analysis, forensic resampling, image scaling",RESAMPLING
3,SPLICING,"A common form of photographic manipulation is the digital splicing of two or more images into a single composite. When performed carefully, the border between the spliced regions can be visually imperceptible. In [7] and [32] , however, the authors show that splicing disrupts higher-order Fourier statistics,which can subsequently be used to detect splicing. Consider a 1-D signal x1t2 and its Fourier transform X1v2. The power spectrum P1v2 5 X1v2X* 1v2 is routinely used to analyze the frequency composition of a signal (* denotes complex conjugate). Moving beyond the power spectrum, the bispectrum measures higher-order correlations between triples of frequencies v1, v2, and v1 1 v2. Subtle discontinuities that result from splicing manifest themselves with an increase in the magnitude of the bispectrum and in a bias in the bispectrum phase, which are used to detect splicing in audio [7] and in images [32] . ",SPLICING,2023-04-20,33,Mrs. Beth Davis DVM,2,"image composition, photo editing, region merging, forgery detection, composite analysis",SPLICING
5,JPEG QUANTIZATION,"Most cameras encode images in the JPEG format. This lossy compression scheme allows for some flexibility in how much compression is achieved. Manufacturers typically configure their devices differently in order to balance compression and quality to their own needs and tastes. As described in [8] and[44] , this difference can be used to identify the source (camera make/model) of an image. Given a three-channel color image (RGB), the standard JPEG compression scheme proceeds as follows: The RGB image is first converted into luminance/chrominance space (YCbCr). The two chrominance channels (CbCr) are typically subsampled by a factor of two relative to the luminance channel (Y). Each channel is then partitioned into 8 3 8 pixel blocks. These values areconverted from unsigned to signed integers (e.g., from 30, 2554 to 32128, 1274 ). Each block is converted to frequency space using a 2-D discrete cosine transform (DCT). Depending on the specific frequency and channel, each DCT coefficient, c, is then quantized by an amount q : :c/q;. This stage is the primary source of compression.",JPEG QUANTIZATION,2023-06-07,11,Gina Campbell,9,"compression artifacts, quantization table, JPEG analysis, lossy compression, image quality metrics",JPEG QUANTIZATION
6,DOUBLE JPEG,"At a minimum, any digital manipulation requires that an image be loaded into a photo-editing software program and resaved. Since most images are stored in the JPEG format, it is likely that both the original and manipulated images are stored in this format. In this scenario, the manipulated image is compressed twice. Because of the lossy nature of the JPEG image format, this double compression introduces specific artifacts not present in singly compressed images (assuming that the image was not also cropped prior to the second compression). The presence of these artifacts can, therefore, be used as evidence of some manipulation [25], [35] . Note that double JPEG compression does not necessarily prove malicious tampering.",DOUBLE JPEG,2024-05-12,37,Leah Gray,5,"recompression detection, compression artifacts, JPEG re-encoding, forensic JPEG analysis, digital forensic tools",DOUBLE JPEG
7,JPEG BLOCKING,"As described in the previous sections, the basis for JPEG compression is the block DCT transform. Because each 8 3 8 pixel image block is individually transformed and quantized, artifacts appear at the border of neighboring blocks in the form of horizontal and vertical edges. When an image is manipulated, these blocking artifacts may be disturbed. In [28] , the authors characterize the blocking artifactsusing pixel value differences within and across block boundaries. These differences tend to be smaller within blocks than across blocks. When an image is cropped and recompressed, a new set of blocking artifacts may be introduced that do not necessarily align with the original boundaries. Within- and across-block pixel value differences are computed from 4-pixel neighborhoods that are spatially offset from each other by a fixed amount, where one neighborhood lies entirely within a JPEG block and the other borders or overlaps a JPEG block. Ahistogram of these differences is computed from all 8 3 8 nonoverlapping image blocks. A 8 3 8 “blocking artifact” matrix (BAM) is computed as the average difference between these histograms. For uncompressed images, this matrix is random,while for a compressed image, this matrix has a specific pattern. When an image is cropped and recompressed, this patternis disrupted. Supervised pattern classification is employed to discriminate between authentic and inauthentic BAMs.",JPEG BLOCKING,2025-01-02,37,Glen Jones,1,"climate_change_1, climate_change_2, climate_change_3, tell, cell",JPEG BLOCKING
8,CAMERA BASED,"Grooves made in gun barrels impart a spin to the projectile for increased accuracy and range. These grooves introduce somewhat distinct markings to the bullet fired, and can therefore be used to link a bullet with a specific handgun. In the same spirit, several image forensic techniques have been developed that specifically model artifacts introduced by various stages of the imaging process. I describe four techniques for modeling and estimating different camera artifacts.Inconsistencies in these artifacts can then be used as evidence of tampering. ",CAMERA BASED,2024-12-10,18,Nicole Garza,2,"blocking artifacts, grid patterns, compression effects, image forensics, block-based compression",CAMERA BASED
9,CHROMATIC ABERRATION,"In an ideal imaging system, light passes through the lens and is focused to a single point on the sensor. Optical systems,however, deviate from such ideal models in that they fail to perfectly focus light of all wavelengths. Specifically, lateral chromatic aberration manifests itself as a spatial shift in thelocations where light of different wavelengths reaches the sensor. In [16] , the authors show that this lateral aberration can be approximated as an expansion or contraction of the color channels with respect to one another. Shown in Figure 2(a) ,for example, is an image overlayed with a vector field that represents the misalignment of the red channel relative to the green channel. Shown in Figure 2(b) is this same image when the fish was added to the image. Note that in this case, the local lateral aberration in this tampered region is inconsistent with the global aberration. The authors of [16] describe how to estimate lateral chromatic aberration in order to detect this type of manipulation.",CHROMATIC ABERRATION,2023-10-06,42,Karen Moore,2,"image acquisition, camera forensics, device identification, lens distortion, imaging sensors",CHROMATIC ABERRATION
10,COLOR FILTER ARRAY,"A digital color image consists of three channels containing samples from different bands of the color spectrum, e.g., red, green, and blue. Most digital cameras, however, are equipped with a single CCD or CMOS sensor and capture color images using a color filter array (CFA). Most CFAs employ three color filters (red, green, and blue) placed atop each sensor element. Since only a single color sample is recorded at each pixel location, the other two color samples must be estimated from the neighboring samples in order to obtain a three-channel color image. The estimation of the missing color samples is referred to as CFA interpolation or demosaicking. The simplest demosaicking methods are kernel-based ones that act on each channel independently (e.g., bilinear or bicubic interpolation). Moresophisticated algorithms interpolate edges differently from uniform areas to avoid blurring salient image features. Regardless of the specific implementation, CFA interpolation introduces specific statistical correlations between a subset of pixels ineach color channel. Since the color filters in a CFA are typically arranged in a periodic pattern, these correlations are periodic. ",COLOR FILTER ARRAY,2024-04-14,22,Kathryn Li,5,"optical distortion, color fringing, sensor artifacts, demosaicing, forensic color analysis",COLOR FILTER ARRAY
