tag_id,tag_name,description,category,usage_count
0,director,She company analysis join product decade physical.,Industry,405
1,society,These beat pretty environmental any security.,Region,87
2,money,Realize clearly realize business arm every.,Topic,254
3,point,Leave could keep call high along.,Topic,13
4,ten,True reality action especially into eight.,Industry,149
5,knowledge,Hundred watch while table price concern.,Region,518
6,change,Oil detail some parent method.,Topic,835
7,woman,Nor I wait happy quite reflect president.,Topic,449
8,employee,Once quality network enter actually move help drug.,Region,293
9,civil,Glass change cultural protect entire rate among.,Technical,405
10,space,It in chair century rise.,Technical,571
11,upon,Include manager one mouth partner court throughout try.,Region,613
12,tree,Center price will short politics.,Topic,242
13,model,Political court including president study show.,Technical,224
14,particularly,Determine she day kitchen.,Region,449
15,account,Section answer message born thought.,Industry,653
16,response,Send term clearly others.,Industry,296
17,image,Career nothing cultural individual.,Industry,250
18,also,West student tax table floor claim.,Technical,825
19,blood,Recognize wonder attention with quality.,Technical,771
20,something,Mother moment worker Republican place vote ago in.,Technical,377
21,car,Specific public produce truth ok different.,Region,821
22,position,Rock structure sit his as song.,Region,815
23,TV,Simply claim lose admit.,Topic,139
24,speech,With floor prepare.,Technical,503
25,maybe,Future be establish.,Region,85
26,around,Chair appear drug movement become.,Technical,779
27,behind,Hotel wrong meet miss development party century.,Topic,267
28,five,Little improve store city.,Topic,207
29,medical,Training approach since.,Region,541
